operator,id_ticket,date,activity
Siwi,6267/BRKR/Jul/2019,"2019-07-24 12:57:30.0",CLOSE
Alam,6292/BJBR/Jul/2019,"2019-07-24 12:47:30.0",CLOSE
Alam,6264/BJBR/Jul/2019,"2019-07-24 12:00:30.0",CLOSE
Alam,6280/BJBR/Jul/2019,"2019-07-24 11:40:00.0",CLOSE
Alam,6243/BJBR/Jul/2019,"2019-07-24 11:38:30.0",CLOSE
Alam,6353/BJBR/Jul/2019,"2019-07-24 11:38:30.0",CLOSE
Alam,6214/BJBR/Jul/2019,"2019-07-24 11:10:45.0",CLOSE
Alam,6291/BJBR/Jul/2019,"2019-07-24 10:33:30.0",CLOSE
Alam,6207/BJBR/Jul/2019,"2019-07-23 21:30:00.0",CLOSE
Alam,6275/BJBR/Jul/2019,"2019-07-23 19:50:00.0",CLOSE
Sayyid,6268/BSBB/Jul/2019,"2019-07-23 16:42:45.0",CLOSE
Alam,6219/BJBR/Jul/2019,"2019-07-23 16:22:30.0",CLOSE
Alam,6262/BJBR/Jul/2019,"2019-07-23 16:03:00.0",CLOSE
Alam,6188/BJBR/Jul/2019,"2019-07-23 15:46:15.0",CLOSE
Siwi,6196/BRKR/Jul/2019,"2019-07-23 15:42:45.0",CLOSE
Alam,6263/BJBR/Jul/2019,"2019-07-23 15:38:00.0",CLOSE
Alam,6266/BJBR/Jul/2019,"2019-07-23 12:26:00.0",CLOSE
Alam,6183/BJBR/Jul/2019,"2019-07-23 12:25:00.0",CLOSE
Alam,6235/BJBR/Jul/2019,"2019-07-23 12:19:00.0",CLOSE
Alam,6217/BJBR/Jul/2019,"2019-07-23 12:17:00.0",CLOSE
Alam,6211/BJBR/Jul/2019,"2019-07-23 10:59:15.0",CLOSE
Alam,6294/BJBR/Jul/2019,"2019-07-23 10:24:30.0",CLOSE
Alam,6261/BJBR/Jul/2019,"2019-07-23 09:38:00.0",CLOSE
Alam,6273/BJBR/Jul/2019,"2019-07-23 09:30:30.0",CLOSE
Fajar,6206/BJBR/Jul/2019,"2019-07-22 21:44:00.0",CLOSE
Fajar,6238/BJBR/Jul/2019,"2019-07-22 19:38:00.0",CLOSE
Fajar,6174/BJBR/Jul/2019,"2019-07-22 16:22:00.0",CLOSE
Fajar,6165/BJBR/Jul/2019,"2019-07-22 15:42:00.0",CLOSE
Fajar,6180/BJBR/Jul/2019,"2019-07-22 13:30:00.0",CLOSE
Alam,6227/BJBR/Jul/2019,"2019-07-22 13:12:00.0",CLOSE
Paul,6218/BJBR/Jul/2019,"2019-07-22 12:27:00.0",CLOSE
Alam,6164/BJBR/Jul/2019,"2019-07-22 12:00:30.0",CLOSE
Alam,6226/BJBR/Jul/2019,"2019-07-22 11:48:15.0",CLOSE
Alam,6209/BJBR/Jul/2019,"2019-07-22 11:48:15.0",CLOSE
Alam,6224/BJBR/Jul/2019,"2019-07-22 11:47:15.0",CLOSE
Alam,6225/BJBR/Jul/2019,"2019-07-22 11:46:15.0",CLOSE
Alam,6221/BJBR/Jul/2019,"2019-07-22 11:45:45.0",CLOSE
Alam,6220/BJBR/Jul/2019,"2019-07-22 11:45:00.0",CLOSE
Alam,6203/BJBR/Jul/2019,"2019-07-22 11:21:15.0",CLOSE
Alam,6175/BJBR/Jul/2019,"2019-07-22 09:47:00.0",CLOSE
Fajar,6348/BJBR/Jul/2019,"2019-07-22 09:46:00.0",CLOSE
Alam,6171/BJBR/Jul/2019,"2019-07-21 17:00:00.0",CLOSE
Alam,6161/BJBR/Jul/2019,"2019-07-21 15:55:00.0",CLOSE
Alam,6204/BJBR/Jul/2019,"2019-07-21 15:31:00.0",CLOSE
Alam,6208/BJBR/Jul/2019,"2019-07-21 14:24:00.0",CLOSE
Alam,6201/BJBR/Jul/2019,"2019-07-21 13:19:00.0",CLOSE
Alam,6199/BJBR/Jul/2019,"2019-07-21 10:57:00.0",CLOSE
